ref,N,hang,mult
NC_000001.10:762022-762345,161,1,0
NC_000001.10:861206-861565,27,1,0
NC_000001.10:865516-865866,50,2,0
NC_000001.10:866250-866573,13,0,0
NC_000001.10:870984-871319,50,0,0
NC_000001.10:874289-874849,48,1,0
NC_000001.10:876354-876716,7,4,0
NC_000001.10:877462-878556,54,1,4
NC_000001.10:878588-878926,15,4,4
NC_000001.10:879045-879703,66,1,0
NC_000001.10:880085-880355,21,4,5
NC_000001.10:880374-880712,45,4,6
NC_000001.10:880924-881194,15,2,1
NC_000001.10:881543-882068,26,0,0
NC_000001.10:883535-883805,7,1,1
NC_000001.10:883879-884149,44,1,1
NC_000001.10:886530-886800,21,2,0
NC_000001.10:887411-887681,14,1,0
NC_000001.10:887865-888135,41,5,0
NC_000001.10:888511-888831,67,3,0
NC_000001.10:889135-889710,114,3,0
NC_000001.10:891188-891588,105,1,0
NC_000001.10:892243-892830,52,2,0
NC_000001.10:893865-894710,202,1,0
NC_000001.10:895860-896207,13,2,0
NC_000001.10:896602-897983,223,1,1
NC_000001.10:898045-899053,136,3,1
NC_000001.10:899214-899994,79,0,0
NC_000001.10:900262-900787,97,2,0
NC_000001.10:901805-902318,61,0,0
NC_000001.10:905493-906827,154,0,0
NC_000001.10:907338-907842,41,0,0
NC_000001.10:908060-909473,135,1,0
NC_000001.10:909592-910111,51,1,0
NC_000001.10:911340-911702,14,0,0
NC_000001.10:911778-912101,44,0,0
NC_000001.10:914113-916051,282,0,0
NC_000001.10:916434-916784,109,1,0
NC_000001.10:917355-917711,31,1,0
NC_000001.10:934256-935498,102,0,0
NC_000001.10:948750-949088,50,1,1
NC_000001.10:949250-949997,96,1,1
NC_000001.10:955488-955894,12,0,0
NC_000001.10:957421-957863,68,1,0
NC_000001.10:970487-970825,32,2,0
NC_000001.10:975874-976310,25,3,1
NC_000001.10:976437-977089,90,1,1
NC_000001.10:977191-977553,38,2,0
NC_000001.10:978508-979886,162,2,0
NC_000001.10:980526-982404,350,1,1
NC_000001.10:982544-983780,226,2,1
NC_000001.10:984107-985411,118,2,0
NC_000001.10:985485-986592,136,2,9
NC_000001.10:986606-987540,170,6,9
NC_000001.10:988657-989016,29,6,3
NC_000001.10:989083-989516,18,3,3
NC_000001.10:989761-990540,35,1,0
NC_000001.10:1007183-1008102,66,1,0
NC_000001.10:1017879-1018380,33,2,0
NC_000001.10:1019224-1019950,95,0,0
NC_000001.10:1020449-1020799,29,1,0
NC_000001.10:1021161-1021484,17,2,0
NC_000001.10:1022415-1022756,41,2,4
NC_000001.10:1022824-1023165,26,4,4
NC_000001.10:1025550-1025870,59,3,0
NC_000001.10:1026173-1026511,39,4,3
NC_000001.10:1026579-1027095,24,3,3
NC_000001.10:1027142-1027625,39,0,0
NC_000001.10:1078076-1078669,129,1,0
NC_000001.10:1102364-1102699,14,0,0
NC_000001.10:1103127-1103453,20,1,0
NC_000001.10:1104256-1104594,15,0,0
NC_000001.10:1110883-1111212,30,0,0
NC_000001.10:1114527-1115191,59,1,0
NC_000001.10:1115308-1116292,77,0,0
NC_000001.10:1117051-1117392,35,0,0
NC_000001.10:1117623-1117943,69,1,0
NC_000001.10:1118121-1118441,22,0,0
NC_000001.10:1119225-1119554,38,1,0
NC_000001.10:1120293-1120652,42,0,0
NC_000001.10:1131901-1132242,72,3,0
NC_000001.10:1132365-1132721,26,0,0
NC_000001.10:1132779-1133396,45,1,0
NC_000001.10:1138856-1140012,153,3,0
NC_000001.10:1140569-1140934,38,2,0
NC_000001.10:1141601-1142126,34,0,0
NC_000001.10:1146783-1147616,34,0,0
NC_000001.10:1147938-1148276,39,4,5
NC_000001.10:1148285-1149251,123,3,8
NC_000001.10:1149276-1149644,21,2,3
NC_000001.10:1152713-1153223,64,2,0
